Empresa,Classe,Codigo,Setor,Segmento
524 Particip,ON,QVQP3B,Financeiro,Outros
Abc Brasil,PN,ABCB4,Financeiro,Bancos
Aco Altona,ON,EALT3,Bens industriais,M q. e equip. construo e agricolas
Aco Altona,PN,EALT4,Bens industriais,M q. e equip. construo e agricolas
AdvancedDh,ON,ADHM3,Sade,Servios medicohospitalares an lises e diagnsticos
AES Tiete E,ON,TIET3,Utilidade pblica,Energia eletrica
AES Tiete E,PN,TIET4,Utilidade pblica,Energia eletrica
AES Tiete E,UNT N2,TIET11,Utilidade pblica,Energia eletrica
Afluente T,ON,AFLT3,Utilidade pblica,Energia eletrica
Alef S/A,ON,ALEF3B,Financeiro,Outros
Alfa Consorc,ON,BRGE3,Financeiro,Bancos
Alfa Consorc,PNA,BRGE5,Financeiro,Bancos
Alfa Consorc,PNB,BRGE6,Financeiro,Bancos
Alfa Consorc,PNC,BRGE7,Financeiro,Bancos
Alfa Consorc,PND,BRGE8,Financeiro,Bancos
Alfa Consorc,PNE,BRGE11,Financeiro,Bancos
Alfa Consorc,PNF,BRGE12,Financeiro,Bancos
Alfa Financ,ON,CRIV3,Financeiro,Soc. cr‚dito e financiamento
Alfa Financ,PN,CRIV4,Financeiro,Soc. cr‚dito e financiamento
Alfa Holding,ON,RPAD3,Financeiro,Bancos
Alfa Holding,PNA,RPAD5,Financeiro,Bancos
Alfa Holding,PNB,RPAD6,Financeiro,Bancos
Alfa Invest,ON,BRIV3,Financeiro,Bancos
Alfa Invest,PN,BRIV4,Financeiro,Bancos
Alianscsonae,ON,ALSO3,Financeiro,Explorao de imveis
Aliperti,ON,APTI3,Financeiro,Holdings diversificadas
Aliperti,PN,APTI4,Financeiro,Holdings diversificadas
All Norte,ON,FRRN3B,Bens industriais,Transporte ferroviario
All Norte,PNA,FRRN5B,Bens industriais,Transporte ferroviario
All Norte,PNB,FRRN6B,Bens industriais,Transporte ferroviario
Alliar,ON,AALR3,Sade,Servios medicohospitalares an lises e diagnsticos
Alpargatas,ON,ALPA3,Consumo ciclico,Calados
Alpargatas,PN,ALPA4,Consumo ciclico,Calados
Alper S.A.,ON,APER3,Financeiro,Corretoras de seguros
Alupar,ON,ALUP3,Utilidade pblica,Energia eletrica
Alupar,PN,ALUP4,Utilidade pblica,Energia eletrica
Alupar,UNT N2,ALUP11,Utilidade pblica,Energia eletrica
Amazonia,ON,BAZA3,Financeiro,Bancos
Ambev S/A,ON,ABEV3,Consumo no ciclico,Cervejas e refrigerantes
Ampla Energ,ON,CBEE3,Utilidade pblica,Energia eletrica
Anima,ON,ANIM3,Consumo ciclico,Servios educacionais
Arezzo Co,ON,ARZZ3,Consumo ciclico,Tecidos vestuario e calados
Atompar,ON,ATOM3,Financeiro,Outros
Azevedo,ON,AZEV3,Bens industriais,Construo pesada
Azevedo,PN,AZEV4,Bens industriais,Construo pesada
Azul S.A.,PN,AZUL4,Bens industriais,Transporte a‚reo
B2W Digital,ON,BTOW3,Consumo ciclico,Produtos diversos
B3,ON,B3SA3,Financeiro,Servios financeiros diversos
Bahema,ON,BAHI3,Financeiro,Holdings diversificadas
Banco BMG,PN,BMGB4,Financeiro,Bancos
Banco Inter,ON,BIDI3,Financeiro,Bancos
Banco Inter,PN,BIDI4,Financeiro,Bancos
Banco Inter,UNT,BIDI11,Financeiro,Bancos
Banco Pan,PN,BPAN4,Financeiro,Bancos
Banese,ON,BGIP3,Financeiro,Bancos
Banese,PN,BGIP4,Financeiro,Bancos
Banestes,ON,BEES3,Financeiro,Bancos
Banestes,PN,BEES4,Financeiro,Bancos
Banpara,ON,BPAR3,Financeiro,Bancos
Banrisul,ON,BRSR3,Financeiro,Bancos
Banrisul,PNA,BRSR5,Financeiro,Bancos
Banrisul,PNB,BRSR6,Financeiro,Bancos
