Empresa,Classe,Codigo_old,,Codigo
Wells Fargo,ON,WFCO34,,WFC
Walt Disney,ON,DISB34,,DIS
Facebook,ON,FBOK34,,FB
Berkshire,ON,BERK34,,BRK-B
Alphabet,ON,GOGL34,,GOOGL
Booking,ON,BKNG34,,BKNG
Tesla,ON,TSLA34,,TSLA
Apple,ON,AAPL34,,AAPL
524 Particip,ON,QVQP3B,.SA,QVQP3B.SA
Abc Brasil,PN,ABCB4,.SA,ABCB4.SA
Aco Altona,ON,EALT3,.SA,EALT3.SA
Aco Altona,PN,EALT4,.SA,EALT4.SA
AdvancedDh,ON,ADHM3,.SA,ADHM3.SA
AES Tiete E,ON,TIET3,.SA,TIET3.SA
AES Tiete E,PN,TIET4,.SA,TIET4.SA
AES Tiete E,UNT N2,TIET11,.SA,TIET11.SA
Afluente T,ON,AFLT3,.SA,AFLT3.SA
Alef S/A,ON,ALEF3B,.SA,ALEF3B.SA
Alfa Consorc,ON,BRGE3,.SA,BRGE3.SA
Alfa Consorc,PNA,BRGE5,.SA,BRGE5.SA
Alfa Consorc,PNB,BRGE6,.SA,BRGE6.SA
Alfa Consorc,PNC,BRGE7,.SA,BRGE7.SA
Alfa Consorc,PND,BRGE8,.SA,BRGE8.SA
Alfa Consorc,PNE,BRGE11,.SA,BRGE11.SA
Alfa Consorc,PNF,BRGE12,.SA,BRGE12.SA
Alfa Financ,ON,CRIV3,.SA,CRIV3.SA
Alfa Financ,PN,CRIV4,.SA,CRIV4.SA
Alfa Holding,ON,RPAD3,.SA,RPAD3.SA
Alfa Holding,PNA,RPAD5,.SA,RPAD5.SA
Alfa Holding,PNB,RPAD6,.SA,RPAD6.SA
Alfa Invest,ON,BRIV3,.SA,BRIV3.SA
Alfa Invest,PN,BRIV4,.SA,BRIV4.SA
Alianscsonae,ON,ALSO3,.SA,ALSO3.SA
Aliperti,ON,APTI3,.SA,APTI3.SA
Aliperti,PN,APTI4,.SA,APTI4.SA
All Norte,ON,FRRN3B,.SA,FRRN3B.SA
All Norte,PNA,FRRN5B,.SA,FRRN5B.SA
All Norte,PNB,FRRN6B,.SA,FRRN6B.SA
Alliar,ON,AALR3,.SA,AALR3.SA
Alpargatas,ON,ALPA3,.SA,ALPA3.SA
Alpargatas,PN,ALPA4,.SA,ALPA4.SA
Alper S.A.,ON,APER3,.SA,APER3.SA
Alupar,ON,ALUP3,.SA,ALUP3.SA
Alupar,PN,ALUP4,.SA,ALUP4.SA
Alupar,UNT N2,ALUP11,.SA,ALUP11.SA
Amazonia,ON,BAZA3,.SA,BAZA3.SA
Ambev S/A,ON,ABEV3,.SA,ABEV3.SA
Ampla Energ,ON,CBEE3,.SA,CBEE3.SA
Anima,ON,ANIM3,.SA,ANIM3.SA
Arezzo Co,ON,ARZZ3,.SA,ARZZ3.SA
Atompar,ON,ATOM3,.SA,ATOM3.SA
Azevedo,ON,AZEV3,.SA,AZEV3.SA
Azevedo,PN,AZEV4,.SA,AZEV4.SA
Azul S.A.,PN,AZUL4,.SA,AZUL4.SA
B2W Digital,ON,BTOW3,.SA,BTOW3.SA
B3,ON,B3SA3,.SA,B3SA3.SA
Bahema,ON,BAHI3,.SA,BAHI3.SA
Banco BMG,PN,BMGB4,.SA,BMGB4.SA
Banco Inter,ON,BIDI3,.SA,BIDI3.SA
Banco Inter,PN,BIDI4,.SA,BIDI4.SA
Banco Inter,UNT,BIDI11,.SA,BIDI11.SA
Banco Pan,PN,BPAN4,.SA,BPAN4.SA
Banese,ON,BGIP3,.SA,BGIP3.SA
Banese,PN,BGIP4,.SA,BGIP4.SA
Banestes,ON,BEES3,.SA,BEES3.SA
Banestes,PN,BEES4,.SA,BEES4.SA
Banpara,ON,BPAR3,.SA,BPAR3.SA
Banrisul,ON,BRSR3,.SA,BRSR3.SA
Banrisul,PNA,BRSR5,.SA,BRSR5.SA
Banrisul,PNB,BRSR6,.SA,BRSR6.SA
Bardella,ON,BDLL3,.SA,BDLL3.SA
Bardella,PN,BDLL4,.SA,BDLL4.SA
Battistella,ON,BTTL3,.SA,BTTL3.SA
Baumer,ON,BALM3,.SA,BALM3.SA
Baumer,PN,BALM4,.SA,BALM4.SA
Bbmlogistica,ON,BBML3,.SA,BBML3.SA
BBSeguridade,ON,BBSE3,.SA,BBSE3.SA
Betapart,ON,BETP3B,.SA,BETP3B.SA
Bic Monark,ON,BMKS3,.SA,BMKS3.SA
Biomm,ON,BIOM3,.SA,BIOM3.SA
Biosev,ON,BSEV3,.SA,BSEV3.SA
Biotoscana,ON,GBIO33,.SA,GBIO33.SA
Bk Brasil,ON,BKBR3,.SA,BKBR3.SA
Bombril,ON,BOBR3,.SA,BOBR3.SA
Bombril,PN,BOBR4,.SA,BOBR4.SA
BR Brokers,ON,BBRK3,.SA,BBRK3.SA
BR Malls Par,ON,BRML3,.SA,BRML3.SA
BR Propert,ON,BRPR3,.SA,BRPR3.SA
Bradesco,ON,BBDC3,.SA,BBDC3.SA
Bradesco,PN,BBDC4,.SA,BBDC4.SA
Bradespar,ON,BRAP3,.SA,BRAP3.SA
Bradespar,PN,BRAP4,.SA,BRAP4.SA
Brasil,ON,BBAS3,.SA,BBAS3.SA
Brasilagro,ON,AGRO3,.SA,AGRO3.SA
Braskem,ON,BRKM3,.SA,BRKM3.SA
Braskem,PNA,BRKM5,.SA,BRKM5.SA
Braskem,PNB,BRKM6,.SA,BRKM6.SA
BRB Banco,ON,BSLI3,.SA,BSLI3.SA
BRB Banco,PN,BSLI4,.SA,BSLI4.SA
BRF SA,ON,BRFS3,.SA,BRFS3.SA
Brq,ON,BRQB3,.SA,BRQB3.SA
Btgp Banco,ON,BPAC3,.SA,BPAC3.SA
Btgp Banco,PNA,BPAC5,.SA,BPAC5.SA
Btgp Banco,UNT,BPAC11,.SA,BPAC11.SA
Cabinda Part,ON,CABI3B,.SA,CABI3B.SA
Caconde Part,ON,CACO3B,.SA,CACO3B.SA
Cambuci,ON,CAMB3,.SA,CAMB3.SA
Camil,ON,CAML3,.SA,CAML3.SA
Capitalpart,ON,CPTP3B,.SA,CPTP3B.SA
Carrefour BR,ON,CRFB3,.SA,CRFB3.SA
Casan,ON,CASN3,.SA,CASN3.SA
Casan,PN,CASN4,.SA,CASN4.SA
CCR SA,ON,CCRO3,.SA,CCRO3.SA
Ccx Carvao,ON,CCXC3,.SA,CCXC3.SA
Cea Modas,ON,CEAB3,.SA,CEAB3.SA
Ceb,ON,CEBR3,.SA,CEBR3.SA
Ceb,PNA,CEBR5,.SA,CEBR5.SA
Ceb,PNB,CEBR6,.SA,CEBR6.SA
Cedro,ON,CEDO3,.SA,CEDO3.SA
Cedro,PN,CEDO4,.SA,CEDO4.SA
CeeeD,ON,CEED3,.SA,CEED3.SA
CeeeD,PN,CEED4,.SA,CEED4.SA
CeeeGt,ON,EEEL3,.SA,EEEL3.SA
CeeeGt,PN,EEEL4,.SA,EEEL4.SA
Ceg,ON,CEGR3,.SA,CEGR3.SA
Celesc,ON,CLSC3,.SA,CLSC3.SA
Celesc,PN,CLSC4,.SA,CLSC4.SA
Celgpar,ON,GPAR3,.SA,GPAR3.SA
Celpe,ON,CEPE3,.SA,CEPE3.SA
Celpe,PNA,CEPE5,.SA,CEPE5.SA
Celpe,PNB,CEPE6,.SA,CEPE6.SA
Celul Irani,ON,RANI3,.SA,RANI3.SA
Celul Irani,PN,RANI4,.SA,RANI4.SA
Cemepe,ON,MAPT3,.SA,MAPT3.SA
Cemepe,PN,MAPT4,.SA,MAPT4.SA
Cemig,ON,CMIG3,.SA,CMIG3.SA
