Empresa,Classe,Codigo_old,,Setor,Segmento,Codigo
Wells Fargo,ON,WFCO34,,USA,USA,WFC
Walt Disney,ON,DISB34,,USA,USA,DIS
Facebook,ON,FBOK34,,USA,USA,FB
Berkshire,ON,BERK34,,USA,USA,BRK-B
Alphabet,ON,GOGL34,,USA,USA,GOOGL
Booking,ON,BKNG34,,USA,USA,BKNG
Tesla,ON,TSLA34,,USA,USA,TSLA
Apple,ON,AAPL34,,USA,USA,AAPL
524 Particip,ON,QVQP3B,.SA,Financeiro,Outros,QVQP3B.SA
Abc Brasil,PN,ABCB4,.SA,Financeiro,Bancos,ABCB4.SA
Aco Altona,ON,EALT3,.SA,Bens industriais,M q. e equip. construo e agricolas,EALT3.SA
Aco Altona,PN,EALT4,.SA,Bens industriais,M q. e equip. construo e agricolas,EALT4.SA
AdvancedDh,ON,ADHM3,.SA,Saude,Servios medicohospitalares an lises e diagnsticos,ADHM3.SA
AES Tiete E,ON,TIET3,.SA,Utilidade pblica,Energia eletrica,TIET3.SA
AES Tiete E,PN,TIET4,.SA,Utilidade pblica,Energia eletrica,TIET4.SA
AES Tiete E,UNT N2,TIET11,.SA,Utilidade pblica,Energia eletrica,TIET11.SA
Afluente T,ON,AFLT3,.SA,Utilidade pblica,Energia eletrica,AFLT3.SA
Alef S/A,ON,ALEF3B,.SA,Financeiro,Outros,ALEF3B.SA
Alfa Consorc,ON,BRGE3,.SA,Financeiro,Bancos,BRGE3.SA
Alfa Consorc,PNA,BRGE5,.SA,Financeiro,Bancos,BRGE5.SA
Alfa Consorc,PNB,BRGE6,.SA,Financeiro,Bancos,BRGE6.SA
Alfa Consorc,PNC,BRGE7,.SA,Financeiro,Bancos,BRGE7.SA
Alfa Consorc,PND,BRGE8,.SA,Financeiro,Bancos,BRGE8.SA
Alfa Consorc,PNE,BRGE11,.SA,Financeiro,Bancos,BRGE11.SA
Alfa Consorc,PNF,BRGE12,.SA,Financeiro,Bancos,BRGE12.SA
Alfa Financ,ON,CRIV3,.SA,Financeiro,Soc. cr‚dito e financiamento,CRIV3.SA
Alfa Financ,PN,CRIV4,.SA,Financeiro,Soc. cr‚dito e financiamento,CRIV4.SA
Alfa Holding,ON,RPAD3,.SA,Financeiro,Bancos,RPAD3.SA
Alfa Holding,PNA,RPAD5,.SA,Financeiro,Bancos,RPAD5.SA
Alfa Holding,PNB,RPAD6,.SA,Financeiro,Bancos,RPAD6.SA
Alfa Invest,ON,BRIV3,.SA,Financeiro,Bancos,BRIV3.SA
Alfa Invest,PN,BRIV4,.SA,Financeiro,Bancos,BRIV4.SA
Alianscsonae,ON,ALSO3,.SA,Financeiro,Explorao de imveis,ALSO3.SA
Aliperti,ON,APTI3,.SA,Financeiro,Holdings diversificadas,APTI3.SA
Aliperti,PN,APTI4,.SA,Financeiro,Holdings diversificadas,APTI4.SA
All Norte,ON,FRRN3B,.SA,Bens industriais,Transporte ferroviario,FRRN3B.SA
All Norte,PNA,FRRN5B,.SA,Bens industriais,Transporte ferroviario,FRRN5B.SA
All Norte,PNB,FRRN6B,.SA,Bens industriais,Transporte ferroviario,FRRN6B.SA
Alliar,ON,AALR3,.SA,Saude,Servios medicohospitalares an lises e diagnsticos,AALR3.SA
Alpargatas,ON,ALPA3,.SA,Consumo ciclico,Calados,ALPA3.SA
Alpargatas,PN,ALPA4,.SA,Consumo ciclico,Calados,ALPA4.SA
Alper S.A.,ON,APER3,.SA,Financeiro,Corretoras de seguros,APER3.SA
Alupar,ON,ALUP3,.SA,Utilidade pblica,Energia eletrica,ALUP3.SA
Alupar,PN,ALUP4,.SA,Utilidade pblica,Energia eletrica,ALUP4.SA
