date,item,sales,year,month,wk_num,wk_day_numb,forecast
2013-01-01,1,13.0,2013,1,1,1,
2013-01-02,1,11.0,2013,1,1,2,
2013-01-03,1,14.0,2013,1,1,3,
2013-01-04,1,13.0,2013,1,1,4,
2013-01-05,1,10.0,2013,1,1,5,
2013-01-06,1,12.0,2013,1,1,6,
2013-01-07,1,10.0,2013,1,2,0,
2013-01-08,1,9.0,2013,1,2,1,
2013-01-09,1,12.0,2013,1,2,2,
2013-01-10,1,9.0,2013,1,2,3,
2013-01-11,1,9.0,2013,1,2,4,
2013-01-12,1,7.0,2013,1,2,5,
2013-01-13,1,10.0,2013,1,2,6,
2013-01-14,1,12.0,2013,1,3,0,
2013-01-15,1,5.0,2013,1,3,1,
2013-01-16,1,7.0,2013,1,3,2,
2013-01-17,1,16.0,2013,1,3,3,
2013-01-18,1,7.0,2013,1,3,4,
2013-01-19,1,18.0,2013,1,3,5,
2013-01-20,1,15.0,2013,1,3,6,
2013-01-21,1,8.0,2013,1,4,0,
2013-01-22,1,7.0,2013,1,4,1,
2013-01-23,1,9.0,2013,1,4,2,
2013-01-24,1,8.0,2013,1,4,3,
2013-01-25,1,14.0,2013,1,4,4,
2013-01-26,1,12.0,2013,1,4,5,
2013-01-27,1,12.0,2013,1,4,6,
2013-01-28,1,11.0,2013,1,5,0,
2013-01-29,1,6.0,2013,1,5,1,
2013-01-30,1,9.0,2013,1,5,2,
2013-01-31,1,13.0,2013,1,5,3,
2013-02-01,1,11.0,2013,2,5,4,
2013-02-02,1,21.0,2013,2,5,5,
2013-02-03,1,15.0,2013,2,5,6,
2013-02-04,1,14.0,2013,2,6,0,
2013-02-05,1,9.0,2013,2,6,1,
2013-02-06,1,10.0,2013,2,6,2,
2013-02-07,1,13.0,2013,2,6,3,
2013-02-08,1,11.0,2013,2,6,4,
2013-02-09,1,14.0,2013,2,6,5,
2013-02-10,1,11.0,2013,2,6,6,
2013-02-11,1,16.0,2013,2,7,0,
2013-02-12,1,11.0,2013,2,7,1,
2013-02-13,1,14.0,2013,2,7,2,
2013-02-14,1,10.0,2013,2,7,3,
2013-02-15,1,11.0,2013,2,7,4,
2013-02-16,1,7.0,2013,2,7,5,
2013-02-17,1,11.0,2013,2,7,6,
2013-02-18,1,10.0,2013,2,8,0,
2013-02-19,1,10.0,2013,2,8,1,
2013-02-20,1,7.0,2013,2,8,2,
2013-02-21,1,13.0,2013,2,8,3,
2013-02-22,1,12.0,2013,2,8,4,
2013-02-23,1,15.0,2013,2,8,5,
2013-02-24,1,11.0,2013,2,8,6,
2013-02-25,1,7.0,2013,2,9,0,
2013-02-26,1,9.0,2013,2,9,1,
2013-02-27,1,9.0,2013,2,9,2,
2013-02-28,1,10.0,2013,2,9,3,
2013-03-01,1,15.0,2013,3,9,4,
2013-03-02,1,13.0,2013,3,9,5,
2013-03-03,1,20.0,2013,3,9,6,
2013-03-04,1,14.0,2013,3,10,0,
2013-03-05,1,13.0,2013,3,10,1,
2013-03-06,1,17.0,2013,3,10,2,
2013-03-07,1,11.0,2013,3,10,3,
2013-03-08,1,15.0,2013,3,10,4,
2013-03-09,1,16.0,2013,3,10,5,
2013-03-10,1,11.0,2013,3,10,6,
2013-03-11,1,18.0,2013,3,11,0,
2013-03-12,1,14.0,2013,3,11,1,
2013-03-13,1,13.0,2013,3,11,2,
2013-03-14,1,10.0,2013,3,11,3,
2013-03-15,1,14.0,2013,3,11,4,
2013-03-16,1,10.0,2013,3,11,5,
2013-03-17,1,22.0,2013,3,11,6,
2013-03-18,1,11.0,2013,3,12,0,
2013-03-19,1,19.0,2013,3,12,1,
2013-03-20,1,14.0,2013,3,12,2,
2013-03-21,1,17.0,2013,3,12,3,
2013-03-22,1,21.0,2013,3,12,4,
2013-03-23,1,21.0,2013,3,12,5,
2013-03-24,1,19.0,2013,3,12,6,
2013-03-25,1,13.0,2013,3,13,0,
2013-03-26,1,16.0,2013,3,13,1,
2013-03-27,1,11.0,2013,3,13,2,
2013-03-28,1,13.0,2013,3,13,3,
2013-03-29,1,17.0,2013,3,13,4,
2013-03-30,1,19.0,2013,3,13,5,
2013-03-31,1,20.0,2013,3,13,6,
2013-04-01,1,11.0,2013,4,14,0,
2013-04-02,1,19.0,2013,4,14,1,
2013-04-03,1,24.0,2013,4,14,2,
2013-04-04,1,18.0,2013,4,14,3,
2013-04-05,1,19.0,2013,4,14,4,
2013-04-06,1,23.0,2013,4,14,5,
2013-04-07,1,17.0,2013,4,14,6,
2013-04-08,1,19.0,2013,4,15,0,
2013-04-09,1,13.0,2013,4,15,1,
2013-04-10,1,19.0,2013,4,15,2,
2013-04-11,1,16.0,2013,4,15,3,
2013-04-12,1,18.0,2013,4,15,4,
2013-04-13,1,17.0,2013,4,15,5,
2013-04-14,1,26.0,2013,4,15,6,
2013-04-15,1,14.0,2013,4,16,0,
2013-04-16,1,9.0,2013,4,16,1,
2013-04-17,1,17.0,2013,4,16,2,
2013-04-18,1,21.0,2013,4,16,3,
2013-04-19,1,22.0,2013,4,16,4,
2013-04-20,1,22.0,2013,4,16,5,
2013-04-21,1,20.0,2013,4,16,6,
2013-04-22,1,13.0,2013,4,17,0,
2013-04-23,1,11.0,2013,4,17,1,
2013-04-24,1,13.0,2013,4,17,2,
2013-04-25,1,14.0,2013,4,17,3,
2013-04-26,1,20.0,2013,4,17,4,
2013-04-27,1,22.0,2013,4,17,5,
2013-04-28,1,19.0,2013,4,17,6,
2013-04-29,1,11.0,2013,4,18,0,
2013-04-30,1,15.0,2013,4,18,1,
2013-05-01,1,16.0,2013,5,18,2,
2013-05-02,1,23.0,2013,5,18,3,
2013-05-03,1,22.0,2013,5,18,4,
2013-05-04,1,20.0,2013,5,18,5,
2013-05-05,1,14.0,2013,5,18,6,
2013-05-06,1,14.0,2013,5,19,0,
2013-05-07,1,15.0,2013,5,19,1,
2013-05-08,1,14.0,2013,5,19,2,
2013-05-09,1,11.0,2013,5,19,3,
2013-05-10,1,16.0,2013,5,19,4,
2013-05-11,1,19.0,2013,5,19,5,
2013-05-12,1,13.0,2013,5,19,6,
2013-05-13,1,9.0,2013,5,20,0,
2013-05-14,1,13.0,2013,5,20,1,
2013-05-15,1,16.0,2013,5,20,2,
2013-05-16,1,15.0,2013,5,20,3,
2013-05-17,1,16.0,2013,5,20,4,
2013-05-18,1,20.0,2013,5,20,5,
2013-05-19,1,19.0,2013,5,20,6,
2013-05-20,1,14.0,2013,5,21,0,
2013-05-21,1,24.0,2013,5,21,1,
2013-05-22,1,23.0,2013,5,21,2,
2013-05-23,1,14.0,2013,5,21,3,
2013-05-24,1,24.0,2013,5,21,4,
2013-05-25,1,25.0,2013,5,21,5,
2013-05-26,1,27.0,2013,5,21,6,
2013-05-27,1,7.0,2013,5,22,0,
2013-05-28,1,12.0,2013,5,22,1,
2013-05-29,1,10.0,2013,5,22,2,
2013-05-30,1,19.0,2013,5,22,3,
2013-05-31,1,27.0,2013,5,22,4,
2013-06-01,1,26.0,2013,6,22,5,
2013-06-02,1,22.0,2013,6,22,6,
2013-06-03,1,12.0,2013,6,23,0,
2013-06-04,1,15.0,2013,6,23,1,
2013-06-05,1,24.0,2013,6,23,2,
2013-06-06,1,9.0,2013,6,23,3,
2013-06-07,1,21.0,2013,6,23,4,
2013-06-08,1,20.0,2013,6,23,5,
2013-06-09,1,38.0,2013,6,23,6,
2013-06-10,1,20.0,2013,6,24,0,
2013-06-11,1,18.0,2013,6,24,1,
2013-06-12,1,22.0,2013,6,24,2,
2013-06-13,1,21.0,2013,6,24,3,
2013-06-14,1,22.0,2013,6,24,4,
2013-06-15,1,26.0,2013,6,24,5,
2013-06-16,1,23.0,2013,6,24,6,
2013-06-17,1,13.0,2013,6,25,0,
2013-06-18,1,21.0,2013,6,25,1,
2013-06-19,1,18.0,2013,6,25,2,
2013-06-20,1,24.0,2013,6,25,3,
2013-06-21,1,19.0,2013,6,25,4,
2013-06-22,1,23.0,2013,6,25,5,
2013-06-23,1,24.0,2013,6,25,6,
2013-06-24,1,17.0,2013,6,26,0,
2013-06-25,1,21.0,2013,6,26,1,
2013-06-26,1,21.0,2013,6,26,2,
2013-06-27,1,26.0,2013,6,26,3,
2013-06-28,1,17.0,2013,6,26,4,
2013-06-29,1,20.0,2013,6,26,5,
2013-06-30,1,24.0,2013,6,26,6,
2013-07-01,1,23.0,2013,7,27,0,
2013-07-02,1,17.0,2013,7,27,1,
2013-07-03,1,12.0,2013,7,27,2,
2013-07-04,1,24.0,2013,7,27,3,
2013-07-05,1,17.0,2013,7,27,4,
2013-07-06,1,16.0,2013,7,27,5,
2013-07-07,1,34.0,2013,7,27,6,
2013-07-08,1,20.0,2013,7,28,0,
2013-07-09,1,23.0,2013,7,28,1,
2013-07-10,1,14.0,2013,7,28,2,
2013-07-11,1,25.0,2013,7,28,3,
2013-07-12,1,29.0,2013,7,28,4,
2013-07-13,1,22.0,2013,7,28,5,
2013-07-14,1,29.0,2013,7,28,6,
2013-07-15,1,18.0,2013,7,29,0,
2013-07-16,1,12.0,2013,7,29,1,
2013-07-17,1,16.0,2013,7,29,2,
2013-07-18,1,21.0,2013,7,29,3,
2013-07-19,1,25.0,2013,7,29,4,
2013-07-20,1,25.0,2013,7,29,5,
2013-07-21,1,26.0,2013,7,29,6,
2013-07-22,1,18.0,2013,7,30,0,
2013-07-23,1,17.0,2013,7,30,1,
2013-07-24,1,21.0,2013,7,30,2,
2013-07-25,1,21.0,2013,7,30,3,
2013-07-26,1,31.0,2013,7,30,4,
2013-07-27,1,19.0,2013,7,30,5,
2013-07-28,1,25.0,2013,7,30,6,
2013-07-29,1,8.0,2013,7,31,0,
2013-07-30,1,26.0,2013,7,31,1,
2013-07-31,1,27.0,2013,7,31,2,
2013-08-01,1,21.0,2013,8,31,3,
2013-08-02,1,19.0,2013,8,31,4,
2013-08-03,1,24.0,2013,8,31,5,
2013-08-04,1,26.0,2013,8,31,6,
2013-08-05,1,17.0,2013,8,32,0,
2013-08-06,1,10.0,2013,8,32,1,
2013-08-07,1,25.0,2013,8,32,2,
2013-08-08,1,20.0,2013,8,32,3,
2013-08-09,1,19.0,2013,8,32,4,
2013-08-10,1,22.0,2013,8,32,5,
2013-08-11,1,25.0,2013,8,32,6,
2013-08-12,1,10.0,2013,8,33,0,
2013-08-13,1,11.0,2013,8,33,1,
2013-08-14,1,19.0,2013,8,33,2,
2013-08-15,1,22.0,2013,8,33,3,
2013-08-16,1,15.0,2013,8,33,4,
2013-08-17,1,29.0,2013,8,33,5,
2013-08-18,1,27.0,2013,8,33,6,
2013-08-19,1,11.0,2013,8,34,0,
2013-08-20,1,15.0,2013,8,34,1,
2013-08-21,1,20.0,2013,8,34,2,
2013-08-22,1,20.0,2013,8,34,3,
2013-08-23,1,19.0,2013,8,34,4,
2013-08-24,1,19.0,2013,8,34,5,
2013-08-25,1,23.0,2013,8,34,6,
2013-08-26,1,11.0,2013,8,35,0,
2013-08-27,1,16.0,2013,8,35,1,
2013-08-28,1,20.0,2013,8,35,2,
2013-08-29,1,14.0,2013,8,35,3,
2013-08-30,1,20.0,2013,8,35,4,
2013-08-31,1,25.0,2013,8,35,5,
2013-09-01,1,25.0,2013,9,35,6,
2013-09-02,1,10.0,2013,9,36,0,
2013-09-03,1,16.0,2013,9,36,1,
2013-09-04,1,10.0,2013,9,36,2,
2013-09-05,1,16.0,2013,9,36,3,
2013-09-06,1,20.0,2013,9,36,4,
2013-09-07,1,20.0,2013,9,36,5,
2013-09-08,1,19.0,2013,9,36,6,
2013-09-09,1,15.0,2013,9,37,0,
2013-09-10,1,17.0,2013,9,37,1,
2013-09-11,1,26.0,2013,9,37,2,
2013-09-12,1,14.0,2013,9,37,3,
2013-09-13,1,16.0,2013,9,37,4,
2013-09-14,1,27.0,2013,9,37,5,
2013-09-15,1,14.0,2013,9,37,6,
2013-09-16,1,16.0,2013,9,38,0,
2013-09-17,1,20.0,2013,9,38,1,
2013-09-18,1,18.0,2013,9,38,2,
2013-09-19,1,16.0,2013,9,38,3,
2013-09-20,1,11.0,2013,9,38,4,
2013-09-21,1,13.0,2013,9,38,5,
2013-09-22,1,16.0,2013,9,38,6,
2013-09-23,1,18.0,2013,9,39,0,
2013-09-24,1,14.0,2013,9,39,1,
2013-09-25,1,17.0,2013,9,39,2,
2013-09-26,1,20.0,2013,9,39,3,
2013-09-27,1,22.0,2013,9,39,4,
2013-09-28,1,13.0,2013,9,39,5,
2013-09-29,1,20.0,2013,9,39,6,
2013-09-30,1,20.0,2013,9,40,0,
2013-10-01,1,12.0,2013,10,40,1,
2013-10-02,1,11.0,2013,10,40,2,
2013-10-03,1,14.0,2013,10,40,3,
2013-10-04,1,14.0,2013,10,40,4,
2013-10-05,1,14.0,2013,10,40,5,
2013-10-06,1,20.0,2013,10,40,6,
2013-10-07,1,13.0,2013,10,41,0,
2013-10-08,1,13.0,2013,10,41,1,
2013-10-09,1,14.0,2013,10,41,2,
2013-10-10,1,20.0,2013,10,41,3,
2013-10-11,1,17.0,2013,10,41,4,
2013-10-12,1,17.0,2013,10,41,5,
2013-10-13,1,20.0,2013,10,41,6,
2013-10-14,1,15.0,2013,10,42,0,
2013-10-15,1,15.0,2013,10,42,1,
2013-10-16,1,15.0,2013,10,42,2,
2013-10-17,1,10.0,2013,10,42,3,
2013-10-18,1,10.0,2013,10,42,4,
2013-10-19,1,18.0,2013,10,42,5,
2013-10-20,1,25.0,2013,10,42,6,
2013-10-21,1,13.0,2013,10,43,0,
2013-10-22,1,11.0,2013,10,43,1,
2013-10-23,1,16.0,2013,10,43,2,
2013-10-24,1,17.0,2013,10,43,3,
2013-10-25,1,18.0,2013,10,43,4,
2013-10-26,1,19.0,2013,10,43,5,
2013-10-27,1,14.0,2013,10,43,6,
2013-10-28,1,11.0,2013,10,44,0,
2013-10-29,1,17.0,2013,10,44,1,
2013-10-30,1,20.0,2013,10,44,2,
2013-10-31,1,21.0,2013,10,44,3,
2013-11-01,1,20.0,2013,11,44,4,
2013-11-02,1,24.0,2013,11,44,5,
2013-11-03,1,19.0,2013,11,44,6,
2013-11-04,1,12.0,2013,11,45,0,
2013-11-05,1,20.0,2013,11,45,1,
2013-11-06,1,16.0,2013,11,45,2,
2013-11-07,1,17.0,2013,11,45,3,
2013-11-08,1,22.0,2013,11,45,4,
2013-11-09,1,18.0,2013,11,45,5,
2013-11-10,1,23.0,2013,11,45,6,
2013-11-11,1,16.0,2013,11,46,0,
2013-11-12,1,20.0,2013,11,46,1,
2013-11-13,1,20.0,2013,11,46,2,
2013-11-14,1,9.0,2013,11,46,3,
2013-11-15,1,18.0,2013,11,46,4,
2013-11-16,1,13.0,2013,11,46,5,
2013-11-17,1,17.0,2013,11,46,6,
2013-11-18,1,17.0,2013,11,47,0,
2013-11-19,1,18.0,2013,11,47,1,
2013-11-20,1,17.0,2013,11,47,2,
2013-11-21,1,16.0,2013,11,47,3,
2013-11-22,1,17.0,2013,11,47,4,
2013-11-23,1,31.0,2013,11,47,5,
2013-11-24,1,20.0,2013,11,47,6,
2013-11-25,1,16.0,2013,11,48,0,
2013-11-26,1,25.0,2013,11,48,1,
2013-11-27,1,25.0,2013,11,48,2,
2013-11-28,1,17.0,2013,11,48,3,
2013-11-29,1,19.0,2013,11,48,4,
2013-11-30,1,30.0,2013,11,48,5,
2013-12-01,1,16.0,2013,12,48,6,
2013-12-02,1,8.0,2013,12,49,0,
2013-12-03,1,21.0,2013,12,49,1,
2013-12-04,1,6.0,2013,12,49,2,
2013-12-05,1,13.0,2013,12,49,3,
2013-12-06,1,15.0,2013,12,49,4,
2013-12-07,1,17.0,2013,12,49,5,
2013-12-08,1,17.0,2013,12,49,6,
2013-12-09,1,8.0,2013,12,50,0,
2013-12-10,1,14.0,2013,12,50,1,
2013-12-11,1,7.0,2013,12,50,2,
2013-12-12,1,5.0,2013,12,50,3,
2013-12-13,1,13.0,2013,12,50,4,
2013-12-14,1,16.0,2013,12,50,5,
2013-12-15,1,15.0,2013,12,50,6,
2013-12-16,1,15.0,2013,12,51,0,
2013-12-17,1,8.0,2013,12,51,1,
2013-12-18,1,18.0,2013,12,51,2,
2013-12-19,1,7.0,2013,12,51,3,
2013-12-20,1,13.0,2013,12,51,4,
2013-12-21,1,11.0,2013,12,51,5,
2013-12-22,1,9.0,2013,12,51,6,
2013-12-23,1,8.0,2013,12,52,0,
2013-12-24,1,17.0,2013,12,52,1,
2013-12-25,1,6.0,2013,12,52,2,
2013-12-26,1,16.0,2013,12,52,3,
2013-12-27,1,18.0,2013,12,52,4,
2013-12-28,1,17.0,2013,12,52,5,
2013-12-29,1,14.0,2013,12,52,6,
2013-12-30,1,5.0,2013,12,1,0,
2013-12-31,1,15.0,2013,12,1,1,
2014-01-01,1,9.0,2014,1,1,2,
2014-01-02,1,14.0,2014,1,1,3,
2014-01-03,1,11.0,2014,1,1,4,
